#Resonance Frequency: 570500.000 Hz
#Set Current: 6.57 A
Time [s]	Current [A]	Voltage [V]	T0 [degC]	T1 [degC]	T2 [degC]	State
86.000188	6.563	14.848	23.4	327.6	327.6	EXPOSING
87.004858	6.564	14.850	23.6	327.6	327.6	EXPOSING
88.000736	6.563	14.852	23.7	327.6	327.6	EXPOSING
89.000114	6.563	14.853	23.8	327.6	327.6	EXPOSING
90.000072	6.563	14.855	24.0	327.6	327.6	EXPOSING
90.999798	0.064	0.004	24.1	327.6	327.6	WAIT
92.000178	0.000	0.000	24.1	327.6	327.6	WAIT
93.009030	0.000	0.000	24.1	327.6	327.6	WAIT
94.000200	0.000	0.000	24.0	327.6	327.6	WAIT
95.000109	0.000	0.000	24.0	327.6	327.6	WAIT
96.018018	0.000	0.000	23.9	327.6	327.6	WAIT
97.000338	0.000	0.000	23.9	327.6	327.6	WAIT
98.006145	0.000	0.000	23.8	327.6	327.6	WAIT
99.000103	0.000	0.000	23.8	327.6	327.6	WAIT
100.000359	0.000	0.000	23.7	327.6	327.6	WAIT
101.000457	0.000	0.000	23.6	327.6	327.6	WAIT
102.000903	0.000	0.000	23.6	327.6	327.6	WAIT
103.000151	0.000	0.000	23.5	327.6	327.6	WAIT
104.000244	0.001	0.000	23.5	327.6	327.6	WAIT
105.000108	0.000	0.000	23.4	327.6	327.6	WAIT
106.001563	0.000	0.000	23.4	327.6	327.6	WAIT
107.000405	0.000	0.000	23.3	327.6	327.6	WAIT
108.000703	0.000	0.000	23.3	327.6	327.6	WAIT
109.000388	0.000	0.000	23.2	327.6	327.6	WAIT
110.038759	0.000	0.000	23.2	327.6	327.6	WAIT
111.004734	0.000	0.000	23.1	327.6	327.6	WAIT
112.000092	0.001	0.000	23.1	327.6	327.6	WAIT
113.000208	0.000	0.000	23.0	327.6	327.6	WAIT
114.000623	0.000	0.000	23.0	327.6	327.6	WAIT
115.000504	0.000	0.000	22.9	327.6	327.6	WAIT
116.000590	0.000	0.000	22.9	327.6	327.6	WAIT
117.000377	0.000	0.000	22.8	327.6	327.6	WAIT
118.000264	0.000	0.000	22.8	327.6	327.6	WAIT
119.000071	0.000	0.000	22.7	327.6	327.6	WAIT
120.000221	0.000	0.000	22.7	327.6	327.6	WAIT
121.000108	0.000	0.000	22.7	327.6	327.6	WAIT
122.000275	0.000	0.000	22.6	327.6	327.6	WAIT
123.008527	0.000	0.000	22.6	327.6	327.6	WAIT
124.000209	0.000	0.000	22.5	327.6	327.6	WAIT
125.000117	0.000	0.000	22.5	327.6	327.6	WAIT
126.005584	0.000	0.000	22.4	327.6	327.6	WAIT
127.000178	0.000	0.000	22.4	327.6	327.6	WAIT
128.010123	0.000	0.000	22.4	327.6	327.6	WAIT
129.000435	0.000	0.000	22.3	327.6	327.6	WAIT
130.000781	0.000	0.000	22.3	327.6	327.6	WAIT
131.000065	0.000	0.000	22.2	327.6	327.6	WAIT
132.000088	0.000	0.000	22.2	327.6	327.6	WAIT
133.000101	0.000	0.000	22.2	327.6	327.6	WAIT
134.000609	0.000	0.000	22.1	327.6	327.6	WAIT
135.000274	0.000	0.000	22.1	327.6	327.6	WAIT
136.000711	0.000	0.000	22.1	327.6	327.6	WAIT
137.000291	0.000	0.000	22.0	327.6	327.6	WAIT
138.000133	0.000	0.000	22.0	327.6	327.6	WAIT
139.010452	0.000	0.000	22.0	327.6	327.6	WAIT
140.000106	0.000	0.000	21.9	327.6	327.6	WAIT
141.021549	0.001	0.000	21.9	327.6	327.6	WAIT
142.000103	0.000	0.000	21.9	327.6	327.6	WAIT
143.000130	0.000	0.000	21.8	327.6	327.6	WAIT
144.000252	0.000	0.000	21.8	327.6	327.6	WAIT
145.000392	0.000	0.000	21.8	327.6	327.6	WAIT
146.000613	0.000	0.000	21.7	327.6	327.6	WAIT
147.000187	0.000	0.000	21.7	327.6	327.6	WAIT
148.000484	0.000	0.000	21.7	327.6	327.6	WAIT
149.000779	0.000	0.000	21.6	327.6	327.6	WAIT
150.000360	0.000	0.000	21.6	327.6	327.6	WAIT
151.000602	0.000	0.000	21.6	327.6	327.6	WAIT
152.000067	0.000	0.000	21.5	327.6	327.6	WAIT
153.016521	0.000	0.000	21.5	327.6	327.6	WAIT
154.000407	0.000	0.000	21.5	327.6	327.6	WAIT
155.026892	0.000	0.000	21.5	327.6	327.6	WAIT
156.000206	0.000	0.000	21.4	327.6	327.6	WAIT
157.000388	0.000	0.000	21.4	327.6	327.6	WAIT
158.000130	0.000	0.000	21.4	327.6	327.6	WAIT
159.000096	0.000	0.000	21.4	327.6	327.6	WAIT
160.000435	0.000	0.000	21.3	327.6	327.6	WAIT
161.000154	0.000	0.000	21.3	327.6	327.6	WAIT
162.000103	0.000	0.000	21.3	327.6	327.6	WAIT
163.005203	0.000	0.000	21.3	327.6	327.6	WAIT
164.000346	0.000	0.000	21.2	327.6	327.6	WAIT
165.010669	0.000	0.000	21.2	327.6	327.6	WAIT
166.000252	0.000	0.000	21.2	327.6	327.6	WAIT
167.000190	0.000	0.000	21.2	327.6	327.6	WAIT
168.000342	0.000	0.000	21.1	327.6	327.6	WAIT
169.000559	0.000	0.000	21.1	327.6	327.6	WAIT
170.000151	0.000	0.000	21.1	327.6	327.6	WAIT
171.000384	0.000	0.000	21.1	327.6	327.6	WAIT
172.000391	0.000	0.000	21.0	327.6	327.6	WAIT
173.033210	0.000	0.000	21.0	327.6	327.6	WAIT
174.000869	0.000	0.000	21.0	327.6	327.6	WAIT
175.030146	0.000	0.000	21.0	327.6	327.6	WAIT
176.000086	0.000	0.000	21.0	327.6	327.6	WAIT
177.000153	0.000	0.000	20.9	327.6	327.6	WAIT
178.000331	0.000	0.000	20.9	327.6	327.6	WAIT
179.000040	0.000	0.000	20.9	327.6	327.6	WAIT
180.000164	0.000	0.000	20.9	327.6	327.6	WAIT
181.000083	0.000	0.000	20.9	327.6	327.6	WAIT
182.000127	0.000	0.000	20.8	327.6	327.6	WAIT
183.053033	0.000	0.000	20.8	327.6	327.6	WAIT
184.000127	0.000	0.000	20.8	327.6	327.6	WAIT
185.000167	0.001	0.000	20.8	327.6	327.6	WAIT
186.000629	0.000	0.000	20.8	327.6	327.6	WAIT
187.000452	0.001	0.000	20.8	327.6	327.6	WAIT
188.000701	0.000	0.000	20.7	327.6	327.6	WAIT
189.013498	0.001	0.000	20.7	327.6	327.6	WAIT
190.000180	0.000	0.000	20.7	327.6	327.6	WAIT
